game_name,num_players,value,num_votes
War of the Ring: Second Edition,1,Not Recommended,284
War of the Ring: Second Edition,2,Not Recommended,3
War of the Ring: Second Edition,3,Not Recommended,258
War of the Ring: Second Edition,4,Not Recommended,198
War of the Ring: Second Edition,4+,Not Recommended,271
