rank,rating,name,year,minplayers,maxplayers,bestplayers,minplaytime,maxplaytime,minage,type
86,7.6,Twilight Imperium: Third Edition,2005,3,6,4+,180,240,14,Strategy
87,7.6,Troyes,2010,1,4,3,90,90,12,Strategy
88,7.6,Dominion: Intrigue,2009,2,6,3,30,30,13,Strategy
89,7.6,Mombasa,2015,2,4,4+,75,150,12,Strategy
90,7.6,Eldritch Horror,2013,1,8,4+,120,240,14,Thematic
91,7.6,The Lord of the Rings: Journeys in Middle-Earth,2019,1,5,2,60,120,14,Thematic
92,7.5,Raiders of the North Sea,2015,2,4,3,60,80,12,Strategy
93,7.5,Rising Sun,2018,3,5,4+,90,120,14,Strategy
94,7.5,Patchwork,2014,2,2,2,15,30,8,Family
95,7.5,Lorenzo il Magnifico,2016,2,4,3,60,120,12,Strategy
96,7.5,The Isle of Cats,2019,1,4,3,60,90,8,Strategy
97,7.5,Russian Railroads ,2013,2,4,4+,90,120,12,Strategy
98,7.5,Tigris & Euphrates,1997,2,4,4+,90,90,12,Strategy
99,7.5,Decrypto,2018,3,8,4+,15,45,12,Party
100,7.5,Trajan,2011,2,4,4+,60,120,12,Strategy
